,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,segment_index,A,be,phi,region_id
71,71,0.514093065505413,0.61526531281962,0.257094599610451,0.583536676598024,0.642770178541218,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
72,72,0.514102761185896,0.63547648632122,0.257079906119236,0.583774270096177,0.642561017348443,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
73,73,0.514123943259963,0.65803240472666,0.257067970080901,0.583968863421053,0.642406336655796,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
74,74,0.514148348392325,0.68818007803138,0.257063821588693,0.584132308418163,0.642282765164089,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
75,75,0.570162224257832,0.72571129235167,0.257063821588693,0.584132308418163,0.642282765164089,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
76,76,0.680252730617509,0.7643273760649,0.280172167058429,0.592260232995001,0.746391390757002,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
77,77,0.767218220623198,0.79772394451375,0.313345864469194,0.616665271820664,0.798319274578535,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
78,78,0.837212658880724,0.82666172315672,0.348713344716903,0.650745544739321,0.817637324427754,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
79,79,0.895996376251516,0.85918339945799,0.382730902238787,0.690261922956907,0.819808959898479,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
80,80,0.947609958840078,0.90473069212557,0.41404874925498,0.732501079294604,0.814134719418034,0.0552764018898396,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,2,0.783423975485876,0.167951166936797,0.2,Chihuahua Desert
